Generation,Alive,AvgHealth,AvgHunger,Apples,AvgMaxQ,LeaderGenes
176895524.2589,7,73.9190476190491,-39.121428571424936,12,2.6564129951793793,63.81524486469696
176895524.2623,7,40.585714285717664,-89.12142857142211,12,2.6564129951793793,63.81524486469696
176895524.2659,7,7.252380952384052,-139.12142857142243,12,2.6564129951793793,63.81524486469696
176895526.4701,6,100,67.25000000000186,15,1.582435705170053,44.88277811553985
176895526.4735,6,100,17.250000000003475,15,1.582435705170053,44.88277811553985
176895526.477,6,78.47222222222344,-19.716666666663425,13,1.6518110016451775,44.88277811553985
176895526.4804,6,50.69444444444724,-69.71666666666066,13,1.6518110016451775,44.88277811553985
176895526.4839,6,20.18888888889163,-119.7166666666609,13,1.6518110016451775,44.88277811553985
176895526.4873,1,50.300000000002825,-74.54999999999436,13,4.951817009871065,0
176895526.4908,1,16.966666666669784,-124.54999999999151,13,4.951817009871065,0
176895528.695,7,100,71.74285714285875,15,1.4081617331106595,44.1703162820516
176895528.6984,7,100,21.74285714286086,15,1.4081617331106595,44.1703162820516
176895528.7019,7,81.16190476190583,-28.257142857139574,15,1.4081617331106595,44.1703162820516
176895528.7054,7,47.82857142857439,-78.257142857137,15,1.4081617331106595,44.1703162820516
176895528.7089,7,14.4952380952412,-128.25714285713454,15,1.4081617331106595,44.1703162820516
176895530.9137,6,100,76.15000000000136,16,1.6554415519411243,55.60147959401106
176895530.9172,6,100,26.15000000000363,16,1.6554415519411243,55.60147959401106
176895530.9207,6,84.1000000000009,-23.849999999996655,16,1.6554415519411243,55.60147959401106
176895530.9241,6,50.766666666669465,-73.8499999999944,16,1.6554415519411243,55.60147959401106
176895530.9276,6,17.433333333336567,-123.84999999999194,16,1.6554415519411243,55.60147959401106
176895533.1318,6,100,90.1333333333339,19,2.4894635000000003,62.25806049490848
176895533.1353,6,100,49.91666666666951,16,4.458960771661204,62.25806049490848
176895533.1388,6,95.63888888888914,11.166666666669913,14,5.1745994210445,62.25806049490848
176895533.1422,6,73.27222222222373,-38.833333333328945,14,5.1745994210445,62.25806049490848
176895533.1457,6,40.77777777778078,-88.83333333332688,14,5.1745994210445,62.25806049490848
176895533.1491,2,35.41666666667034,-96.8749999999931,14,10.550407763133503,0
176895533.1526,1,5.033333333336442,-142.4499999999946,14,9.283831896299784,0
176895535.3574,7,100,58.37142857143094,10,3.7582785187673697,41.92817409823489
176895535.3609,7,100,8.371428571432169,10,3.7582785187673697,41.92817409823489
176895535.3644,7,72.24761904762063,-41.62857142856749,10,3.7582785187673697,41.92817409823489
176895535.3679,7,38.914285714289186,-91.62857142856481,10,3.7582785187673697,41.92817409823489
176895535.3713,7,5.58095238095553,-141.62857142856632,10,3.7582785187673697,41.92817409823489
176895537.5756,6,100,82.10833333333436,12,2.4894635000000003,31.646487582865632
176895537.579,6,100,37.833333333336775,11,2.4894635000000003,31.646487582865632
176895537.5825,6,90.21111111111166,-12.166666666663204,11,2.4894635000000003,31.646487582865632
176895537.5859,6,58.55555555555791,-62.16666666666172,11,2.4894635000000003,31.646487582865632
176895537.5894,6,25.22222222222555,-112.16666666665888,11,2.4894635000000003,31.646487582865632
176895537.5928,1,10.066666666669757,-134.89999999999287,11,4.956781,31.646487582865632
176895539.797,7,100,63.34285714285922,11,1.4188422877880902,65.60941787987427
176895539.8005,7,100,19.057142857146676,10,2.101044977325745,65.60941787987427
176895539.804,7,79.37142857142975,-30.942857142853217,10,2.101044977325745,65.60941787987427
176895539.8075,7,46.03809523809831,-80.94285714285081,10,2.101044977325745,65.60941787987427
176895539.811,7,12.704761904765137,-130.94285714285033,10,2.101044977325745,65.60941787987427
176895539.8144,1,3.1163821523350066e-12,-149.9999999999941,10,4.775418826763584,0
176895542.0186,7,100,52.057142857145585,13,2.1116052396109652,55.80532414137158
176895542.0221,7,100,7.7714285714324225,12,2.810495284598545,55.80532414137158
176895542.0255,7,71.84761904762065,-42.22857142856707,12,2.810495284598545,55.80532414137158
176895542.029,7,38.51428571428921,-92.22857142856446,12,2.810495284598545,55.80532414137158
176895542.0324,7,5.180952380955565,-142.2285714285664,12,2.810495284598545,55.80532414137158
176895544.2366,6,100,90.60833333333386,15,4.990000000000001,47.55764125447996
176895544.2401,6,100,40.60833333333671,15,4.990000000000001,47.55764125447996
176895544.2435,6,93.73888888888924,-9.391666666663125,15,4.990000000000001,47.55764125447996
176895544.247,6,60.405555555557804,-59.39166666666188,15,4.990000000000001,47.55764125447996
176895544.2505,6,27.072222222225843,-109.39166666665905,15,4.990000000000001,47.55764125447996
176895546.4547,6,100,90.0083333333339,20,0.8316666666666667,42.21772691442373
176895546.4581,6,100,45.633333333336424,19,0.9869018370637219,42.21772691442373
176895546.4616,6,94.45000000000032,-4.366666666663094,19,0.9023186961447167,42.21772691442373
176895546.4651,6,63.75555555555761,-54.3666666666621,19,0.8462848589825785,42.21772691442373
176895546.4685,6,30.422222222225702,-104.36666666665934,19,0.8462848589825785,42.21772691442373
176895546.472,1,15.833333333336403,-126.24999999999142,19,0.08770915389547096,0
176895548.6763,6,100,78.00833333333458,17,3.9927900744339695,58.78428467721511
176895548.6797,6,100,28.008333333336868,17,3.9927900744339695,58.78428467721511
176895548.6832,6,85.33888888888971,-21.991666666663317,17,3.9927900744339695,58.78428467721511
176895548.6866,6,52.00555555555828,-71.99166666666117,17,3.9927900744339695,58.78428467721511
176895548.6901,6,18.672222222225514,-121.99166666665866,17,3.9927900744339695,58.78428467721511
176895550.8943,6,100,90.09166666666722,19,0.8301666666666666,38.84544298973908
176895550.8977,6,100,45.58333333333642,16,3.0365288465835767,38.84544298973908
176895550.9012,6,94.50555555555587,-4.416666666663095,16,3.0365288465835767,38.84544298973908
176895550.9046,6,63.72222222222428,-54.41666666666211,16,3.0365288465835767,38.84544298973908
176895550.9081,6,30.38888888889238,-104.41666666665934,16,3.0365288465835767,38.84544298973908
176895550.9115,1,15.300000000003072,-127.04999999999137,16,13.238173079501461,0
176895553.1158,6,100,73.85833333333481,13,3.8460291733872993,51.6123026591553
176895553.1192,6,100,23.85833333333706,13,3.8361162304825513,51.6123026591553
176895553.1227,6,82.57222222222322,-26.141666666663358,13,3.8361162304825513,51.6123026591553
176895553.1262,6,49.23888888889178,-76.14166666666092,13,3.8361162304825513,51.6123026591553
176895553.1296,6,15.905555555558715,-126.14166666665847,13,3.8361162304825513,51.6123026591553
176895555.3338,6,100,81.27500000000106,15,1.6330597488219898,39.5662893991127
176895555.3373,6,100,35.05000000000359,14,2.429085308392789,39.5662893991127
176895555.3407,6,89.73888888888946,-14.949999999996558,14,2.429085308392789,39.5662893991127
176895555.3443,6,56.70000000000246,-64.9499999999949,14,2.429085308392789,39.5662893991127
176895555.3477,6,23.366666666670046,-114.94999999999207,14,2.429085308392789,39.5662893991127
176895555.3511,1,1.7666666666697852,-147.3499999999957,14,4.7761533574247945,39.5662893991127
176895557.5553,6,100,57.758333333335734,16,2.7005583247074605,62.45683375614518
176895557.5588,6,100,7.758333333336796,16,2.7005583247074605,62.45683375614518
176895557.5623,6,71.8388888888905,-42.24166666666253,16,2.7005583247074605,62.45683375614518
176895557.5658,6,38.50555555555905,-92.24166666666002,16,2.7005583247074605,62.45683375614518
176895557.5692,6,5.172222222225455,-142.24166666666238,16,2.7005583247074605,62.45683375614518
176895559.7734,6,100,90.15000000000056,21,0.8261423166666666,46.925939087710766
176895559.7768,6,100,40.1500000000034,21,0.8261423166666666,46.925939087710766
176895559.7803,6,93.60555555555591,-3.18333333332979,20,0.8261423166666666,46.925939087710766
176895559.7838,6,63.70555555555762,-53.18333333332879,20,0.8261423166666666,46.925939087710766
176895559.7873,6,30.372222222225705,-103.1833333333261,20,0.8261423166666666,46.925939087710766
176895559.7907,1,15.566666666669738,-119.09999999999211,20,4.9568539,0
176895561.9956,6,100,72.98333333333487,20,3.200034735819912,54.8123598480121
176895561.9991,6,100,22.983333333337004,20,3.200034735819912,54.8123598480121
176895562.0026,6,81.98888888888992,-27.016666666663372,20,3.200034735819912,54.8123598480121
176895562.006,6,48.65555555555847,-77.01666666666087,20,3.200034735819912,54.8123598480121
176895562.0095,6,15.322222222225376,-127.01666666665851,20,3.200034735819912,54.8123598480121
176895564.2137,6,100,81.19166666666773,26,0.8225584932796814,25.076245840518098
176895564.2171,6,100,49.00833333333654,21,3.8099444169171615,25.076245840518098
176895564.2206,6,93.33333333333371,-0.9916666666627473,21,3.8099444169171615,25.076245840518098
176895564.2241,6,66.00555555555748,-50.991666666661786,21,3.8099444169171615,25.076245840518098
176895564.2275,6,32.67222222222541,-100.99166666665916,21,3.8099444169171615,25.076245840518098
176895564.231,3,12.011111111114298,-131.98333333332582,21,7.619888833834323,0
176895566.4352,6,100,80.00000000000114,25,4.990000000000001,66.27202787793159
176895566.4386,6,100,36.866666666670135,22,5.717386736014379,66.27202787793159
176895566.4421,6,88.88888888888953,-13.133333333329885,22,5.717386736014379,66.27202787793159
176895566.4456,6,57.911111111113506,-63.133333333328295,22,5.717386736014379,66.27202787793159
176895566.4491,6,24.577777777780998,-113.1333333333255,22,5.717386736014379,66.27202787793159
176895566.4525,1,14.13333333333641,-128.79999999999148,22,9.354320416086264,0
176895568.6567,6,100,75.62500000000138,23,1.7216163788460481,56.19711037944949
176895568.6602,6,100,25.625000000003656,23,1.7216163788460481,56.19711037944949
176895568.6636,6,83.75000000000092,-24.374999999996664,23,1.7216163788460481,56.19711037944949
176895568.6671,6,50.41666666666949,-74.37499999999436,23,1.7216163788460481,56.19711037944949
176895568.6706,6,17.08333333333655,-124.37499999999189,23,1.7216163788460481,56.19711037944949
176895570.8748,7,100,86.12142857142935,17,5.461530616954865,32.3554691837052
176895570.8783,7,100,44.185714285717395,14,6.607110620710219,32.3554691837052
176895570.8817,7,92.69523809523851,-5.814285714282208,14,6.607110620710219,32.3554691837052
176895570.8852,7,62.79047619047831,-55.81428571428096,14,6.607110620710219,32.3554691837052
176895570.8886,7,29.457142857146188,-105.81428571427831,14,6.607110620710219,32.3554691837052
176895570.8921,2,12.000000000003276,-131.99999999999406,14,11.008827240214845,0
176895573.097,6,100,84.15833333333424,15,3.291971547698484,61.14317534199048
176895573.1004,6,100,34.158333333337005,15,3.291971547698484,61.14317534199048
176895573.1039,6,89.43888888888948,-15.841666666663231,15,3.291971547698484,61.14317534199048
176895573.1074,6,56.105555555558055,-65.84166666666151,15,3.291971547698484,61.14317534199048
176895573.1108,6,22.772222222225622,-115.84166666665868,15,3.291971547698484,61.14317534199048
176895575.315,6,100,91.00833333333385,14,1.6580398333333335,44.827304822386985
176895575.3185,6,100,42.5833333333366,12,3.0134131210174053,44.827304822386985
176895575.3219,6,94.57777777777808,-7.416666666663127,12,3.0134131210174053,44.827304822386985
176895575.3254,6,61.722222222224396,-57.41666666666199,12,3.0134131210174053,44.827304822386985
176895575.3289,6,28.3888888888925,-107.41666666665917,12,3.0134131210174053,44.827304822386985
176895575.3323,1,2.866666666669783,-145.69999999999533,12,13.122239726104432,0
176895577.5365,6,100,59.77500000000229,13,1.6146463100389383,55.88770751091908
176895577.54,6,100,9.775000000003638,13,1.6146463100389383,55.88770751091908
176895577.5435,6,73.18333333333486,-40.224999999996044,13,1.6146463100389383,55.88770751091908
176895577.5469,6,39.85000000000342,-90.22499999999347,13,1.6146463100389383,55.88770751091908
176895577.5505,6,6.516666666669827,-140.22499999999476,13,1.6146463100389383,55.88770751091908
176895579.7546,6,100,80.25000000000112,24,0.8227489431666668,41.01782207633027
176895579.7581,6,100,34.35000000000363,23,1.6244479889554981,41.01782207633027
